Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Development Task,Functionality Incomplete,ALDOT-1648,GDB: Determine inconsistencies in the data,Open,George Darling,8/26/15 9:35,"Determine what all of the data inconsistencies are and how to handle them. There was significant concern about structure ids not being unique and how to handle the multiple comments. Also, there may be some fields that should be required, but have missing data - decide what to do in those situations.",9/28/15 10:47,ALDOT,"Sept15 Sprint 2, Oct15 Sprint 1",Data Migration,20
Development Task,Functionality Incomplete,ALDOT-203,Document Management: Import all the Photos (2 - 6 per sign),Code Complete,Kevin Kieliszek,10/9/12 14:42,"All of the images are currently on the emapsplus server. The data migrator program may be helpful, but it may be easier to write a script to go through all of those directories and upload them.",10/5/15 16:07,ALDOT,"Sept15 Sprint 2, Oct15 Sprint 1",Data Migration,7
Task,Data Update,PROJ-4,Setup Amazon GIS Server,In Progress,David McReynolds,8/31/15 16:07,Setup new ArcServer once Ryan approves it and ESRI invoicing has been resolved.,9/28/15 10:47,SDS Projects,"Sept15 Sprint 1, Sept15 Sprint 2, Oct15 Sprint 1",,40
Development Task,Functionality Incomplete,ALDOT-1650,Data Migrator: Finish the data migrator program,Open,Unassigned,8/26/15 9:41,Finish the Data Migrator program to transform all of the sign inventory data into the IRIMS Billboard schema.,9/28/15 10:47,ALDOT,Sept15 Sprint 2,Data Migration,30
Database Subtask,Functionality Incomplete,ALDOT-1672,ALDOT-1650 Understand and analyse the data migrater program,Open,Unassigned,9/14/15 10:22,,9/14/15 10:22,ALDOT,Sept15 Sprint 2,,20
Bug - Client Reported,Functionality Incomplete,IRIS-327,OH NOES! Lois emailed us.,Closed,Paul Fuller,9/14/15 9:49,Showing the final settlement on the summery payment page (just need to coordinate with Washington because it should be done).,9/18/15 14:20,WashDOT,Sept15 Sprint 2,,3
Development Task,Functionality Incomplete,DREAMAPS-530,Get ye olde etl for Macon running.,Closed,George Darling,9/14/15 10:56,New old processing server: ec2-54-80-204-190.compute-1.amazonaws.com,9/18/15 14:20,DREAMaps Online,Sept15 Sprint 2,,3
Development Task,Functionality Incomplete,DREAMAPS-532,Test new processing server with faster drive and RAM disk.,Closed,Unassigned,9/14/15 11:00,See what happens!,9/18/15 14:21,DREAMaps Online,Sept15 Sprint 2,,3
Bug - Internal Reported,Functionality Incomplete,ALDOT-1602,"Permit Numbers: A few signs have broken permit numbers, example 6-1-",Code Complete,George Darling,8/24/15 16:41,"See system id 223, 216, 206 on ALDOT's UAT database.",9/15/15 12:56,ALDOT,"Sept15 Sprint 1, Sept15 Sprint 2",Gotta Do,3
Change Request - Improvement,Functionality Incomplete,ALDOT-1639,Structure IDs from GDB (eMaps) need to be the same in Oracle,Code Complete,Kevin Kieliszek,8/25/15 13:32,"Because the structure IDs that have been in eMaps are known by users, those same structure IDs need to be used in the oracle database. 
Things to consider: 
- There may be structures in the oracle database already (need to avoid collisions) 
- Structure IDs in the GDB may not be unique. A good solution would be to keep the oracle structure_id as an internal column, and add another column for the publicly known structure ID. For newly added signs these could both be incremented perhaps.",9/14/15 11:58,ALDOT,Sept15 Sprint 2,Data Migration,2
Bug - Internal Reported,Functionality Incomplete,ALDOT-1496,Permit Numbers: Add the ability to manually assign permit numbers,Code Complete,Kevin Kieliszek,3/6/15 16:26,"Because permits for preexisting signs already have a permit number, the ability to manually enter a permit number is needed. Have the automatically generated permit numbers start at 10000, so that numbers less than that can be input.",9/15/15 13:55,ALDOT,Sept15 Sprint 2,Data Migration,20
Development Task,Functionality Incomplete,ALDOT-1649,GDB: Create an efficient export process,Closed,Unassigned,8/26/15 9:40,"Design an efficient process for exporting data from the GDB and importing to Oracle, or make this part of the Data Migrator program. It is partly implemented in the py program currently, which may be a good solution. 
This is important because the GDB may continue to be updated until the sign inventory is complete. Maybe add a way to tell if a record has already been exported and only get new / changed records?",9/28/15 10:45,ALDOT,Sept15 Sprint 2,Data Migration,25
Task,Functionality Incomplete,DOT-1,Web framework research,Done,George Darling,8/17/15 12:34,"Two possibilities currently being considered: 
C# MVC 
- Entity framework with SQL Server 
- Angular JS frontend with Sass and Bootstrap 

Node.js 
- Mongo DB 
- Angular JS frontend with Sass and Bootstrap",8/18/15 9:18,DOT Next,Sprint 1,,5
Task,Functionality Incomplete,DOT-2,LaDOTD RFP explanations,Done,George Darling,8/17/15 12:35,Provide explanations for all requirements that were marked 2 or 3.,8/24/15 10:12,DOT Next,Sprint 1,,3
Bug - Internal Reported,Functionality Incomplete,ALDOT-1606,Location page: Property Owner Address is incorrectly populated,Code Complete,Kevin Kieliszek,8/24/15 16:50,On the Location page the Property Owner Address at the bottom of the screen is pulling from sign location rather than property owner address. System id 266 for example on ALDOT UAT database.,8/28/15 13:23,ALDOT,Sprint 1,Gotta Do,2
Bug - Internal Reported,Functionality Incomplete,ALDOT-1644,"Search page: Change ""Sign ID"" to ""Structure ID""",Code Complete,Kevin Kieliszek,8/25/15 15:11,Just a wording change. Note ALDOT-1639 regarding migrating structure ids.,8/26/15 14:49,ALDOT,Sprint 1,Gotta Do,1
Bug - Internal Reported,Functionality Incomplete,ALDOT-1604,"My Dashboard Results (ROW): Fix the ""show assigned tasks only"" checkbox",Code Complete,George Darling,8/24/15 16:46,Add the functionality that was done for Billboard to Permitting so that the checkbox works.,8/31/15 11:47,ALDOT,Sept15 Sprint 1,Gotta Do,2
Bug - Internal Reported,Functionality Incomplete,ALDOT-1659,Division / District dropdowns: Needs to differentiate based on modules for associated districts,Code Complete,Kevin Kieliszek,8/28/15 11:23,"On the sign details page and the location page, the division / district dropdowns get their options based on the Assigned Work Locations list in the user admin section. The problem is, the Assigned Work Locations doesn't differentiate between modules and is kind of broken. Instead the division / district dropdowns need to be populated based on the divisions / districts that are selected per module on the admin user filters page. For reference, the query that is generated for the billboard search page gets the correct divisions / districts so that can be used as a template.",9/9/15 15:31,ALDOT,Sept15 Sprint 1,Gotta Do,4
Bug - Internal Reported,Functionality Incomplete,ALDOT-1663,Search page: Text fields should not be case sensitive,Code Complete,Kevin Kieliszek,8/28/15 13:20,Check the way that case sensitivity is handled on Permitting and implement it similarly in Billboard.,9/1/15 10:08,ALDOT,Sept15 Sprint 1,Gotta Do,3
Change Order,Functionality Incomplete,ALDOT-1660,Revoke/Deny page: Change the status after Removing a sign,Code Complete,Kevin Kieliszek,8/28/15 11:41,"If you choose the Remove option from the Revoke/Deny page, the sign application gets a status of Application Removed if it had not been approved yet. If it had been approved, it has a status of Denied. Change the Denied status message to Removed.",8/31/15 14:34,ALDOT,Sept15 Sprint 1,Gotta Do,2
Change Request - New Feature,Functionality Incomplete,ALDOT-1661,Search page: add Business Name,Open,Unassigned,8/28/15 13:14,Add the ability to search by Business Name,8/28/15 13:28,ALDOT,,Supplemental,3
Change Request - New Feature,Functionality Incomplete,ALDOT-1662,Billboard History: Add Inspections section,Open,Unassigned,8/28/15 13:17,"On the Billboard History page, add a section for Inspections that provides a summary of the inspections done (kind of like the table on the Inspections page).",8/28/15 13:28,ALDOT,,Supplemental,15
Data Configuration,Functionality Incomplete,ALDOT-1664,Divisions / Districts: Add District 59,Open,Unassigned,8/28/15 13:26,"District 59 (division 5, district 9) needs to be added to the system, and the appropriate routes associated to it. This may affect the association of routes to other districts. 
- This is supplemental, although it actually needs to be done in order for the system to be usable on production. 
- Part of the supplemental is converting the whole system to regions / areas. That will take a long time though, so it is important to add this in the meantime.",8/28/15 13:28,ALDOT,,Supplemental,13
Data Configuration,Functionality Incomplete,ALDOT-1665,Division / Districts: Add Division 10,Open,Unassigned,8/28/15 13:28,"Division 10, and probably all of the districts in division 10, needs to be added to the system. The correct routes will need to be determined and associated with division 10's districts, and this may affect other divisions / districts. 

- This is supplemental, although it actually needs to be done in order for the system to be usable on production. 
- Part of the supplemental is converting the whole system to regions / areas. That will take a long time though, so it is important to add this in the meantime.",8/28/15 13:28,ALDOT,,Supplemental,25
Data Configuration,Functionality Incomplete,ALDOT-1634,Sign Inventory Maintenance and Classification: Adding signs since 2012,Open,Unassigned,8/25/15 13:16,"Add signs that have been permitted since sign collection in 2012. The signs that have been permitted since the sign inventory in 2012 will need the same attributes as the signs in the sign inventory collected during 2012 and front, back, 300’ &/or 500’ photo’s. 

",8/25/15 13:23,ALDOT,,Supplemental,
Change Request - New Feature,Functionality Incomplete,ALDOT-1642,Inspections page: Add several new inspection types,Open,Unassigned,8/25/15 13:49,"Add Yearly Inspection, sign removal inspection, abandoned sign, sign modification, vegetation to Inspection Type drop down list.",8/25/15 13:51,ALDOT,,Supplemental,2
Change Request - New Feature,Functionality Incomplete,ALDOT-1643,Idea: Add online payment portal for annual renewal,Open,Unassigned,8/25/15 13:51,This was a suggestion from training and would have to be approved by Mark before adding to supplemental agreement.,8/25/15 13:51,ALDOT,,Supplemental,
Bug - Internal Reported,Functionality Incomplete,ALDOT-1645,Search page: Remove Region ID and add Division / District,Code Complete,Kevin Kieliszek,8/25/15 15:13,Replace the Region ID field with Division / District. Querying for it might be complicated.,8/26/15 14:50,ALDOT,Sprint 1,Gotta Do,4
Bug - Internal Reported,Functionality Incomplete,ALDOT-1640,Search page: remove Applicant ID and add Applicant Name,Code Complete,Kevin Kieliszek,8/25/15 13:36,"Change Applicant ID to Applicant Name, since users will not know the ID numbers, bu will know the names.",8/26/15 14:50,ALDOT,Sprint 1,Gotta Do,4
Change Request - New Feature,Functionality Incomplete,ALDOT-1641,Inspections page: Add a comment field,Open,Unassigned,8/25/15 13:46,"In addition to the fields for an inspection on the Inspections page, add a optional comments field. Also add this comments field to the database, and have it repopulate in the form when editing a previous inspection.",8/25/15 13:46,ALDOT,,Supplemental,12
Data Configuration,Functionality Incomplete,ALDOT-1635,Collect signs on Map 21,Open,Unassigned,8/25/15 13:16,Collect signs on Map 21- The Federal government has added new routes under each state control. The signs on those routes will need to be collected and added to the sign inventory with the same attributes and photos as the sign inventory.,8/25/15 13:23,ALDOT,,Supplemental,
Data Configuration,Functionality Incomplete,ALDOT-1636,Modification of data to Regions / Areas from Divisions / Districts,Open,Unassigned,8/25/15 13:19,"Currently the data for the sign inventory was collected using Divisions/Districts. Beginning June 13, 2013 the State of Alabama decided to divide the state in to Regions rather than Divisions/Districts and the boundary lines have changed. This change means that some signs will now fall under the jurisdiction of a different office.",8/25/15 13:23,ALDOT,,Supplemental,
Data Configuration,Functionality Incomplete,ALDOT-1637,Illegal Sign Compliance,Open,Unassigned,8/25/15 13:20,"Approximately 2500* illegal signs need to be either made compliant by either finding a permit, determine if the sign is eligible to be a Grandfathered sign, re-permitted or torn down. *This is an estimate, an exact number can be determined when all the signs have been Classified.",8/25/15 13:23,ALDOT,,Supplemental,
Data Configuration,Functionality Incomplete,ALDOT-1638,Sign Tagging,Open,Unassigned,8/25/15 13:23,"A tag for each sign in the inventory needs to be created. 
There was no cost in the original fee proposal for this task, so the proposed cost is: 
$16.67 per sign for 10,120 signs 
$50 per placement for 1,518 signs",8/25/15 13:23,ALDOT,,Supplemental,
Change Request - New Feature,Functionality Incomplete,ALDOT-1609,Search page: Add Tag Number,Open,Unassigned,8/24/15 16:59,"Add Tag Number to the search page. These are tricky to set up right, so see the past database scripts for example (v8 I think?)",8/25/15 12:18,ALDOT,,Supplemental,3
Change Request - New Feature,Functionality Incomplete,ALDOT-1627,Performance Report: Add this feature to ODA,Open,Unassigned,8/25/15 12:24,Create a version of the permitting performance report for the Billboard module.,8/25/15 12:27,ALDOT,,Supplemental,50
Change Request - New Feature,Functionality Incomplete,ALDOT-1610,Progress Bar: Add vegetation and modification to the progress bar,Open,Unassigned,8/24/15 17:13,Currently the progress bar is just for the main workflow. Add in steps for vegetation and modification.,8/24/15 17:13,ALDOT,,Supplemental,15
Change Request - New Feature,Functionality Incomplete,ALDOT-1611,Progress Bar: Add this feature to the permitting workflows,Open,Unassigned,8/24/15 18:50,Add a similar kind of progress bar to the permitting workflows like what is in billboard.,8/25/15 12:32,ALDOT,,Supplemental,78
Change Order,Functionality Incomplete,ALDOT-1628,Workflows: New approval workflow for Permitting,Open,Unassigned,8/25/15 12:43,"New workflow for permits that no longer go to Central Office. As of January 1, 2014 there are different levels of review and approval for different types of permits. See ALDOT memo Levels of Review and Approvals. The workflows within the Permitting system need to be modified to account for these changes.",8/25/15 13:03,ALDOT,,Supplemental,187
Change Order,Functionality Incomplete,ALDOT-1629,Workflow: New approval workflow for Billboard,Open,Unassigned,8/25/15 12:45,New workflow for Billboard - permits that once went to Central Office will now go to Regional offices. Consult with ALDOT for the correct current workflow.,8/25/15 13:03,ALDOT,,Supplemental,187
Change Order,Functionality Incomplete,ALDOT-1630,Regions and Areas: Convert entire Permitting system Regions / Areas from Divisions / Districts,Open,Unassigned,8/25/15 12:48,"The drop down lists in the Permitting system refer to Divisions/Districts, example, Division 1 District 1. This needs to be converted to Regions / Areas. 

Note that this is not simply a wording change; the boundaries of Regions / Areas are different the Divisions / Districts. 

Also consider how this affects the permit numbering scheme.",8/25/15 13:03,ALDOT,,Supplemental,250
Change Order,Functionality Incomplete,ALDOT-1631,Regions and Areas: Convert the entire Billboard system to Regions / Areas from Divisions / Districts,Open,Unassigned,8/25/15 12:49,"The drop down lists in the Billboard system refer to Divisions/Districts, example, Division 1 District 1. This needs to be converted to Regions / Areas. 

Note that this is not simply a wording change; the boundaries of Regions / Areas are different the Divisions / Districts. 

Also consider how this affects the permit numbering scheme.",8/25/15 13:03,ALDOT,,Supplemental,250
Change Order,Functionality Incomplete,ALDOT-1632,Contact Page: Add a checkbox to copy info from Applicant Page,Closed,Unassigned,8/25/15 12:51,Add a check box to Contact Page to copy over contact info from Applicant Page (ROW).,8/25/15 13:06,ALDOT,,Supplemental,15
Change Order,Functionality Incomplete,ALDOT-1633,Sign Owner page: Add a checkbox to copy the Contact information from the Applicant page,Open,Unassigned,8/25/15 13:03,Info for the Primary Contact can be input on the Applicant page when creating a new application. Have a checkbox on the Sign Owner page to copy this information into the Primary Contact fields there.,8/25/15 13:03,ALDOT,,Supplemental,15
Change Request - New Feature,Functionality Incomplete,ALDOT-1612,Construction Workflow: Update the Construction Date when construction completed,Open,Unassigned,8/24/15 18:54,"Although not specified, it seems like the construction date should be updated when construction is completed in the main workflow.",8/24/15 19:20,ALDOT,,Supplemental,6
Change Request - Improvement,Functionality Incomplete,ALDOT-1613,Annual Renewal: Calculate the renewal summary based on division / district,Open,Unassigned,8/24/15 18:57,"On the annual renewal page, in the annual renewal summary it is showing total number of permits paid and not paid based upon the entire State. That should be filtered per Division/ District.",8/24/15 19:20,ALDOT,,Supplemental,12
Change Request - Improvement,Functionality Incomplete,ALDOT-1619,Approval workflows: Don't require comments for approval,Open,Unassigned,8/24/15 19:20,"Approval, Vegetation, and Sign Modification approval all require a comment. Users would like that removed. Needs discussing with the ALDOT Steering Committee.",8/24/15 19:20,ALDOT,,Supplemental,3
Change Request - New Feature,New Feature,ALDOT-1598,Electronic signatures for approving permit / billboard applications,Open,Unassigned,8/24/15 16:28,"Electronic approval signatures (supplemental idea) 
When approving / sending up an application in both permitting and billboard, electronically stamp the user's signature onto the permit application. 
- Be able to upload images of user's signatures 
- Simple for digital PDFs, but what about scanned paper PDFs? 
- possible solution is have a standard digital signature page added on.",8/25/15 14:16,ALDOT,,Supplemental,300
Change Request - New Feature,Functionality Incomplete,ALDOT-1600,Notify the District Permit Coordinator if a 60 days have passed in a vegetation cut.,Open,Unassigned,8/24/15 16:35,"See the diagram for vegetation cut - there is a 60 day window in which the vegetation cut can be completed. This is sort of tracked through the colored flags on My Dashboard, but this really needs more discussion.",8/24/15 16:55,ALDOT,,Supplemental,20
Bug - Internal Reported,Functionality Incomplete,ALDOT-1607,Search page: Change wording of Permit Tag Number to Permit Number,Code Complete,Kevin Kieliszek,8/24/15 16:52,"Tag Number is something different, just change the wording to Permit Number",8/26/15 14:50,ALDOT,Sprint 1,Gotta Do,1
Development Task,Functionality Incomplete,ALDOT-1623,JIRA log organization!,Closed,Unassigned,8/25/15 11:57,Log all of the new issues and suggestions from testing / training and assign all open ALDOT logs to an epic.,8/26/15 11:10,ALDOT,Sprint 1,,10
Change Order,Functionality Incomplete,ALDOT-1608,Progress Bar: Remove Re-Appeal,Closed,Unassigned,8/24/15 16:55,"The appeal process can only happen once now, so remove the re-appeal and just have appeal. Also change this in the bbd_ref_dashboard table.",8/24/15 17:04,ALDOT,,,
Change Request - Improvement,Look and Feel,IRWIN-15,PRM125 - Public is creating a new application and they pick Standard as the permit then the permit Sub Type should not be required,Open,Unassigned,5/25/11 12:54,"When the public is creating a new application and they pick Standard as the permit then the permit Sub Type should not be required. but all other permit types (Temp, Annual, Amendment, Supplemental) are correct. 
After the public has created an application an email needs to be sent to the district permit coordinator.",8/17/15 14:44,NDOT - IRWIN,,,15
Change Request - Improvement,Functionality Incomplete,IRWIN-17,Create UI for Terms & Conditions for Permitting Module,Open,Unassigned,5/25/11 12:54,,7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Look and Feel,IRWIN-514,Permit - Payment by CASH,Open,Unassigned,10/2/12 16:19,"Need to have ability to accept cash. 

Margaret Nutt 
Business Process Analyst II 
Nevada Department of Transportation 
1263 South Stewart Street, Room 102 
Carson City, Nevada 89712 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us<mailto:mnutt@dot.state.nv.us> 



This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",7/10/14 10:46,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-589,Remove Step 1,Open,Unassigned,6/17/13 16:35,"http://irwappsrv2.irwin.dot.state.nv.us/IRWINTRAINING/PERMITTING/TEMPORARY/HeadquartersApproval.aspx 

[cid:image002.png@01CE6B67.C202CCD0] 

Margaret Nutt 
Business Process Analyst II 
Nevada Department of Transportation 
1263 South Stewart Street, Room 102 
Carson City, Nevada 89712 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us<mailto:mnutt@dot.state.nv.us> 



This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",7/10/14 10:46,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-597,Report - Inspector's Report,Open,Unassigned,8/27/13 8:03,"I have a report request, I think…see attached(Highlights are data already in IRWIN) Let talk later? 

Margaret Nutt 
Business Process Analyst II 
Nevada Department of Transportation 
1263 South Stewart Street, Room 102 
Carson City, Nevada 89712 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Functionality Incomplete,IRWIN-598,AX Configuration,Open,Unassigned,8/27/13 8:46,"Please take a look at what it will take to make this a configurable process. EDMS interface that the transportation system uses to be configurable for the attribute data. Need to add another field to the EDMS system and needs the transportation system to push data to the new field. 

Margaret Nutt 
Business Process Analyst II 
Nevada Department of Transportation 
1263 South Stewart Street, Room 102 
Carson City, Nevada 89712 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Functionality Incomplete,IRWIN-600,Inspector's Entry Page,Open,Unassigned,9/10/13 10:42,,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-602,Print Application - Side of Highway is not correct.,Open,Unassigned,10/11/13 12:22,"From: Nutt, Margaret M [mailto:MNutt@dot.state.nv.us] 
Sent: Friday, October 11, 2013 12:11 PM 
To: Brian Conley 
Subject: Billboard Application 

The side of the Highway on the application needs to represent Milepost Direction on the location page. 

Margaret Nutt 
Business Process Analyst IRWIN 
Nevada Department of Transportation 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Functionality Incomplete,IRWIN-604,Relabel Step 1 and 2 for District Engineer,Open,Unassigned,10/23/13 14:44,Need to discuss with Margaret on the solution for the labels,7/10/14 10:46,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-607,Add a section to reset Pin under Edit Account-Email & Login Info.,Open,Unassigned,1/28/14 11:31,login/editaccount/LoginInfo.aspx,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-608,Permit Coord is showing Final Inspection on My Dashboard.,Open,Unassigned,1/28/14 11:33,,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Look and Feel,IRWIN-609,Rename labels on grid,Open,Unassigned,1/29/14 10:12,"IRWIN-180 
1. Can you rename “Tech V/Reviewer” to “ROW Eng Tech V”? Title Page - Orders.aspx 
2. Can you rename “ROW Engineer Tech” to “ROW Eng Tech”? grid 

This is a issue across the PST module. 

ACQUISITION/TITLE/ORDERS.ASPX 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Look and Feel,IRWIN-610,Remove the field District Associated from page,Open,Unassigned,1/29/14 10:19,,7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Data Update,IRWIN-611,Associate a Permit with a old permit,Open,Unassigned,1/29/14 10:23,"Is there a way we can associate a Permit with a old permit. I have a permit that should have been a amendment but it did not happen. Is there a fix or is it just a do over? JUST ASKING! 

There is no UI to do this but I can write an sql bat file where you can do this. 

2 hours for the tool. 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Order,Functionality Incomplete,IRWIN-615,Update Customer Name field with Signowner from DataWhse,Open,Unassigned,1/29/14 10:41,BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/VIEWAPPLICANT.ASPX,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-616,1. After I enter a payment I can no longer enter a Agreement Number under the IFS Payment Screen,Open,Unassigned,1/29/14 10:47,Acquisition->Appraisal->PaymentInformation,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-617,Email message is not correct on reassigning a reviewer.,Open,Unassigned,1/29/14 10:51,"When reassigning a reviewer the email send 2 emails(1 to the current reviewer stating they have been removed and 1 to the new reviewer stating that they have been assigned a review), the assignment email is missing the detail data and the removal email has missing detail data and I was not cc on the email.",7/10/14 10:46,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-618,Public page with 3 tier process,Open,Unassigned,1/29/14 11:19,"NDOT has significantly added to its application security requirements since the original occupancy permit status application was written ten years ago. The increase in the exploitation of security vulnerabilities in internet applications over the years has required us to especially increase security requirements for internet applications. To meet NDOT’s standards for internet applications, the following must be incorporated into the new Occupancy Permit Status application: 

- The application must be written in a 3- tier architecture with the business logic in the application tier, a middle tier containing services to call the database and pass information back to the application tier, and a database tier to process the database requests. These three tiers all reside on separate servers. 
- The input fields need to be validated within the application to confirm that only valid entries will be accepted and passed on to the middle tier. 
- The SQL queries need to be formatted into stored procedures and saved within the database. 
- A security certificate needs to be employed between the application tier and middle tier for identity and to encrypt communication between the two tiers. 
- The application must cleanly pass security analysis software testing. We use the OWASP Zed Attack Proxy (ZAP) for penetration testing to find vulnerabilities in web applications. 
",9/9/15 17:29,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-620,Create UI to UserTypes,Open,Unassigned,3/11/14 14:01,,7/10/14 10:46,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-621,Create UI for Divisions/ Sections,Open,Unassigned,3/11/14 14:01,,7/10/14 10:46,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-622,Create UI for Documents Required,Open,Unassigned,3/11/14 14:02,,7/10/14 10:46,NDOT - IRWIN,,,
